"","review_dataset.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"646"," fabric  detailing   dress   superior quality    runs huge     wear  tank  cami underneath    lbs  massive shoulderssmaller bust     xs petite",0,0,0,0,0,0,0,1,1,1
"647","   general    hard  buy  bathing suit online    underestimated  vneck   suit  read  reviews  noted    recommended  girls  larger size breast  im basically   cup  figured    fine  top portion basically   coverage  hold   tied  tight  top  opened making  feel exposed    entire breast  fall    suit needless    fianc    fan   suit  ",0,1,1,0,0,1,1,3,2,3
"648"," found  sweater  fit    pictured    lbs  ordered  small  hits length wise    pictured     flowy   lot  fabric super cute   grey top white skinnys  brown leather sandals love ",0,2,0,0,3,0,0,3,1,6
"649"," runs small    size   fits   medium   large   bit   aline shaped knit   beautiful saturated navy  loved  elbow length sleeves    large  bust    fit     top   waist  im shortwaisted   great basic    busty   likes  shorter length",2,1,1,0,1,0,0,1,3,2
"650"," soft  comfy tee   interesting neckline   petite neckline  slightly higher  sleeves   length   great cuffs",0,0,0,0,0,0,0,0,0,1
"651","ordered  xsp    athletic buildthis  huge   big   armholes   fabric hanging   skirt cream fabric front  back  flattering     sides   long     shows   model  love  idea       body type      beautiful        versatile piece  methe top sweater part   thick lovely  heavy  oklahoma    work    weeks",1,4,1,1,5,2,2,2,1,8
"652","love  color   fit   odd  frumpy  sleeves  shorter       lift  arms  entire sweater  lifted  back",0,0,0,0,1,0,0,0,0,1
"653","yikes    smell      wethot wool   color  beautiful   sweater  enormous  strange fit   arms       back   day",1,0,1,0,1,0,0,0,1,1
"654"," love    tshirt fits  horseshoe opening  front  deep   add interest    revealing   great  layered dainty necklaces  sleeves  nice  long     long arms  length   shirt     inch   longer    design  nice   tight   loose im     lbs     small fits   fabric  medium weight      thicker  brick color  nice  works great ",1,2,1,1,2,1,1,1,3,3
"655"," sweater tee  made   fine  substantial knit  hangs beautifully  flows  imperfections   figure  cut      sleeves  neckline    cropped  boxy     hides  belly  accentuates  hips   phenomenal   crinolined aline skirt",0,0,0,0,0,0,0,0,0,0
"656"," blue    flattering color  fit      lay   back    photo   model     lot  fabric  falls  horizontal folds     fall straight   sides   bottom  narrower   mid section   im   return   neckline   nice  faltering  sleeve   wrist  kind  constricting   long  doesnt run big   chest section   mid section  tapers  ",0,1,0,0,2,3,0,1,2,3
"657"," top   comfy cozy feel    flattering     generous necklineadds  uniqueness   great shirt  dressing    feeling feminine  bought   husband  compliments    wear ",1,2,1,1,3,1,1,4,2,4
"658"," love  sweater   quickly   staple   wardrobe  live  minnesota   fashionable throwonandgo sweater  essential  sweater fits  bill  love  soft  warm    cocoon styling adds  fashionable element   acrylicnylonwool material   functional warm  cozy  love   pockets      disagree    reviewers    runs small  short    find    true     ordere",2,0,0,0,1,0,0,0,3,3
"659","   bit itchy   guess depending   skin havent   problem   sweater   ",0,0,0,1,0,1,1,0,1,0
"660"," dress  perfect im literally wearing     crazy comfortable    flattering    feels high quality   barely doesnt hit  floor  makes  feel   goddess plenty  room   bust area    dd  doesnt show bra straps  underwear highly recommended",2,1,0,1,2,1,0,2,2,2
"661","       beige  loved     find    size       pink",0,0,0,0,0,0,0,0,0,0
"662","    good   beige",0,1,0,0,1,0,1,1,0,1
"663"," love retailer  fell  love       dress online    love  quality maxi dress      disappoint     means  top sweater overlay hits   short   ridiculous   thought     heavy   maxi dress    imagine wearing    degree weather   waiting  long   arrival    back",2,4,2,0,1,2,0,1,3,3
"664"," love  shirt     fairly basic tee   neckline makes  fun   soft  comfortable  bought  white  blue pattern    purchase additional colors",0,2,0,0,3,1,0,2,0,4
"665"," love  shirt  neckline  flattering    feel   comfy",0,0,0,0,2,0,0,0,0,2
"666"," wasnt   purchase  dress      star   ordered      glad   im  lbs  dress fit  perfectly   compliment  petite body     compliments    easy  order    petite frame   dress  show   body  showing  ",0,3,0,0,3,0,1,3,0,3
"667"," sweater  cute  scratchy",0,0,0,0,0,0,0,0,0,1
"668","  cute  didnt     wasnt soft  hung  bit   pictured  thought    softer material   itchy",0,1,0,0,0,0,0,0,0,1
"669","    fence   dress  youll   reasons      breathable fabric  extremely comfortable",0,0,0,0,0,0,0,0,0,0
"670","",0,0,0,0,0,0,0,0,0,0
"671","pros",0,0,0,0,0,0,0,0,0,0
"672"," tons  stretch   top part im     lot  retailer tops   snug  women   bust   fit   medium      snug        depending   loose  tight youd      ",0,1,0,0,0,0,0,1,0,1
"673","  bottom half  skirt feels  nice   skin  breezy   layered ",0,0,0,0,0,1,0,0,1,0
"674"," love  tights       buy   pair  save     wear   lining   clouds   calves theyre thick    dont    totally covered   tunic  slim    dont add bulk love love ",0,0,0,0,2,0,0,2,1,3
"675","   curvy woman  leggings     world        discover  leggings sooner    lovely   comfortable  cozy   great fit    lbs     ml fit perfectly    black  plum colors great purchase",0,1,0,0,1,2,1,1,1,2
"676","    love   dress       store   disappointed   put       curves   buy  large  dresses  dress looked   sack    top    big  loose making  dress  boxy cut    maxi cut    expecting  dress  lovely      hanger  feels good    dont   flatters hourglass figures     length   unlike   reviewers ",1,5,1,0,3,2,2,3,1,5
"677"," based  ",0,0,0,0,0,0,0,0,0,0
"678","  huge  understand   style   looked    wearing  husbands size xxl    imagine   cold day    extra fabric   nice    started  itch  itch  itch",0,0,0,0,0,0,0,0,1,1
"679"," fit    shown   website   returning",0,0,0,0,0,0,0,0,0,0
"680"," detail   dress  lovely   unusual  wellmade  soft fabric   big      wear  medium  ordered  petite small  give   sense   large       weeks pregnant  bought   wear   pregnancy          considerable baby bump  doesnt  good     fact    hoping  wont    large postpregnancy     fit fine   shoulders  ",0,3,1,0,3,1,2,4,3,5
"681"," didnt work   im        xs    correct size       armholes  huge husband   top   dress looked   autobots symbol  transformers   wanted         back",0,1,0,0,0,0,0,1,0,1
"682","  long waisted    lbs      purchased  size  regular   fit perfectly  petite      short    recommend  regular size  youre  petite     big chest     flattering    chest size        neck   classic peter pan collar  great  purchased  black  agree     reviewers     nude color looked   mess   weave  black  white ",0,2,1,0,2,1,0,2,2,5
"683","   bit pricey     beautiful sweater     fits beautifully   material  soft  itchy   important   sweater   cowl neck  cowl sits beautifully  matter   fold    pattern    neck   bottom  vibrant  bright    lovely  ordered  small   covers  butt   perfect  leggings    tights  boots   shapeless    graze  thighs    mild tur",1,2,0,0,3,2,1,3,4,4
"684"," product     pic nice fit   nice throw   boots nap glad    chance  ",0,1,0,0,2,0,1,0,0,2
"685"," bought   month ago  returned    thinking    ordered   arrived  wed   wore   thursday   dress  tights     compliments     perfect   cool weather     warm",0,1,0,0,1,0,0,1,0,2
"686","",0,0,0,0,0,0,0,0,0,0
"687"," knitter thinks  quality   jacquard knit  excellent yarn   top notch",0,1,0,0,1,0,0,2,0,2
"688","  received    mail today       slip included   fabric  totally sheer  description  viscose lining   assume    slip    picture       beige color          store   lost  slip    squished   smallest  retailer envelope  fabric  beautiful   dress  humongous   previous reviewers   ordered  size smaller  ",0,2,0,0,1,1,1,0,2,4
"689","   feet tall       tunic  jeans  leggings     shorter   easily   dress lovely pattern  soft cozy fabric nice weight  hangs    keeper",0,2,1,1,2,2,2,2,1,2
"690","   excited  order  sweater    disappointed     knit   stiff   sleeves    bell shaped  pictured   model            money   price     ordinary sweater   style",2,2,1,0,2,1,2,2,2,3
"691"," reading  reviews  decided  give       didnt work   im  smaller  top   wear   retailer sizes      shoulder  arm area     snug     hips   diagonal striping made  boobs disappear   pattern   bottom emphasized  tummy  rear         back  ",0,1,0,1,0,1,0,3,3,3
"692"," loved    store    order  size   true  size   great length    material   thin   sheer  dont    carry   fall       summer weight fabric      pricey    reason      great basic      eye       sale",0,2,1,1,1,2,1,1,2,3
"693"," absolutely love  sweater     extremely comfortable    wearing    house  day    desire      cute   casual   house top   adorable dressed   jeans  boots  drapes beautifully   effortless chic   color  pretty close   photo   nice  person  possibilities  endless  colors  accessorize  match   sweater   cropped  length   normall",1,2,0,1,4,1,0,3,1,6
"694","haha  unifying theme   reviews    dont trust  picture   misled   neckline  thought    structured kind  asianinspired mockneckfunnel thing    top   foldover cowl    full bust underneath  refuses  pose   mockneck     isnt  structure      print  beautiful   sweater cozy   itchy",0,2,0,0,2,0,0,4,1,5
"695","love  shape  cut   top     sheer     belly button       dark color   buy  wore  regular size small im lbs   dd",0,1,0,0,1,1,0,1,1,3
"696"," quickly       tops comfortable cute     picture",0,0,0,0,0,0,0,0,0,1
"697","   perfect top  wear   summer   nice      dressy  super casual  dont    tight   stomach     nice flow     amount  material",0,2,1,0,1,0,0,3,1,3
"698","   beautiful tunic  wanted   work     couldnt  past  itch factor   sleeves  shorter   expected   wore  light tee underneath  didnt move   looked bulky  sadly   back   store   material doesnt bother  buy    great  tightsleggings  boots",0,2,0,0,1,1,0,0,2,2
"699","   dress   window   portland store          bit horrified   huge       onsort   wearing  tent  shape      awesome dressing room attendants brought   belt  suddenly     beautiful dress ive     romantic elegant feminine  fabric   lovely   flowy sleeves   lower scooped back   fantastic       amazing  makes  feel  wore",1,3,0,2,4,2,2,2,3,6
"700"," ordered size large  find   boxy  long love  hem   top   long   size    bit hard  judge  itll     size  sleeves  cute    bit wide  flowing  warned  sheer    apparent   side view      garment cleaning instruction tag   bottom side hem  potential       reorder   smaller size",0,3,0,1,1,1,1,2,1,5
"701"," sweater   big        ordered    petite    short    lifted  arms youd   bra       wear        high waisted bottoms   bell sleeves     pic  entire sleeve   wide   continues   increase   cuff    short  boxy    back  ",0,0,0,0,0,0,0,1,1,1
"702","  excited    top  person      close            disappointed   color    persimmon orangey  person    hard color  pull    lot  people   pulls  pink  red   skin  highlights  ",1,2,1,0,1,1,1,2,1,3
"703","",0,0,0,0,0,0,0,0,0,0
"704","  top  poorly finished    pick        lace  wonky   front      grabbed      lace  puckered    ",1,1,0,1,0,1,0,2,2,3
"705","love  blouse  top  true  sizeim generally    decided    pl  fit great  pm    bit snuglooked fine   felt   constricted   bust area  thought  pl     im   reference  curvier  top   bottom  wore  nude bra      totally worked   blouse  lace detail   bit sheer   parts   bust line    inappropriate   wait  wear    dinner ",2,3,1,1,1,3,0,3,5,4
"706","   beautiful  fashionable blouse  feels good     made  viscose   pretty  feminine color  great        color  love   recommend ",0,2,0,0,4,0,1,3,0,6
"707"," fell  love   top        store   great fall piece   seethrough   bust   nude bra   color camisole     worn   thing       dressy  im wondering   ill wear   work  home       casual    recommend   im undecided    im      reference im     thin upper body    size medium",1,3,1,2,1,4,0,3,6,4
"708"," dress  light airy easy  comfortable  wear  love  colors  pattern   wonderful     belt  sized         position  front   dress material closer   neck   flows longer   back     size    slip fits perfectly   size   prefer  dress   belt     good   belt   jacket  long cardigan ",2,2,0,1,3,0,3,4,4,4
"709"," dress   keeper",0,0,0,0,0,0,0,0,0,0
"710"," attractive  easy  wear  wore   night  arrived  wore     night  love  colors  pattern  design    stylish tunic sweater  sleeves   full length   prefer  sweater  dense   weave  tight making  sweater  warm    warm",0,0,0,0,1,0,0,2,1,3
"711","great tank  wear  work   night  fits true  size",1,0,0,0,0,0,0,1,2,0
"712","stylist   local retailer recommended     top     put     amazed   pretty   im   curvy size medium   fit  true  size        sizes     size   didnt   issues   lace   slight vneck falls perfectly      wear  cami ",1,2,0,1,1,1,0,4,2,3
"713","  concern   wrinkled  top   requested    blouse steamed   left  store          wrin",0,2,0,0,0,1,0,1,0,2
"714","   beautiful knit    worn   tunic  dress   short frame       sack tent  worn  soft  flattering collar  styled     shaped  ways pattern  color combo   similar   exquisite eira dress      chose  regular  petite     sleeves  longer",0,0,0,0,3,1,0,0,1,3
"715","       prettier  person beautifully made colors   pretty  unique  special  sweaters    sizes small  medium depending   cut     small    medium   bit   fabric   hips   dont    doesnt run large     wanted    closer fit  ill wear   skinny jeans  leggings",1,1,1,1,2,1,1,2,3,3
"716"," love  top  sizing  great     worn    times  received   compliments   great  dress      great purchase",0,1,0,0,1,1,0,1,1,3
"717","purchased   blue  color    darker   shows    slate blue loved  fit   tall   covered perfectly",0,0,0,0,0,1,0,0,0,1
"718"," slimming lovely dress",0,1,0,0,1,1,1,1,0,1
"719"," nice addition   fall winter wardrobe",0,0,0,0,0,1,0,0,1,0
"720"," embroidery  lovely fabric soft  comfortable sized perfectly ",0,1,0,0,1,1,1,1,0,1
"721"," happy   beautiful black dress",0,1,0,0,2,1,0,1,1,2
"722"," fav lbd    months postpartum   dress makes  feel       fits    waist   bow  cinch  waist love  fit  flare  top  warm great   cold evening    taffeta  dresses   love",1,1,0,0,1,0,0,1,2,2
"723"," sweater  soft  flowy   model    store    stiff lace   back   plain   front      ribbing   front bottom   sweater   pulled  places  didnt lie flat   expensive     ",2,1,1,1,0,3,0,1,4,3
"724"," bought   wearing  retailer colored glasses  loved  flowiness  color   dark pink   convinced   dressing room   top made     chic goddess midvacation   amalfi coast      home   straight  looked    wearing  maternity top  im   child    back",0,2,0,0,1,1,0,2,0,3
"725"," love  back detail  doesnt feel  comfortable   bought  green  fitted   size larger   plan  layer  im   bought xs size    ordered  ",0,1,1,0,2,0,1,2,0,2
"726","    fence   jumpsuit     feel  pockets   back    high   bum  kind   unnatural placement   sized    wasnt  tight fitting   waist  hips   made  placement   back pockets   ",0,1,2,1,2,1,0,2,2,2
"727","great  layering  staying warm   winter  stay   larger size  fabric    give   comfortable",0,0,1,0,0,0,1,1,0,0
"728"," shirt    good    gal  hips  fit   top  tight  ordered  small      material   bottom       taller     hits   place    flattering   hoping    hung straight     good  leggings    italso  material    stiffer    expecting",0,3,0,0,2,1,1,2,2,3
"729","   necked       nice   top   cami",0,1,0,0,0,0,0,1,0,1
"730"," reading  reviews   hesitant  purchase  glad   im   xs   depending   brand       xxs  fits perfectly    cute      bathrobe    love       cardigan blazerlooks   blazer  feels   cardigan",1,1,0,0,2,0,0,0,1,4
"731","   tunic    local retailer store    carry petites      regular small im  lb  proportions   bit   vneck fell   low    extra material puckering   bodice     petite  work    height alas  petites instore  online   colors   purchase  didnt find  shirt  thin    commented  essentially  midweight tshirt material  rayon  beware ",0,2,0,1,0,1,0,0,3,2
"732","comfortablet eh fabric   soft  embroidery adds      plain black tunic lace  neck  trend  ",1,0,0,1,0,2,0,1,2,2
"733","",0,0,0,0,0,0,0,0,0,0
"734"," ordered  xxs      loose    fine   xs       flattering theo nly problem     sleeves      snug workout arms   snug    wear  dress  decided            things    retailer    pick    lis",0,0,0,1,1,1,0,1,2,2
"735","    fabric      substantial   price   disappoitned   petites    long  color  nice  neutral      work pants   true  sice      low end   size range",0,2,0,0,0,0,0,1,0,0
"736"," bought   black    require   wear  shirt underneath      sheersee    wear  xs   wore     top  black   pretty      skinny jeans",0,2,0,0,1,1,0,3,2,2
"737","    anthtos facebook page    excited  order  ended     store     couldnt      shirts       thought  ran  big   shape  odd lots  material   middle    mom   young kids  didnt  people       ",0,4,0,0,2,0,2,1,0,4
"738"," ordered  sweater  black  thought    pretty design      cardigan         odd fit   boxy  unflattering  wanted         knew    wear      back",0,2,0,0,1,1,0,2,2,1
"739"," ordered  green black  ivory   thought    cute  sweater  short   cute  ivory    return    sparkle   noticeable   online picture    arrived    huge snag   fabric im   surprised        poor condition",0,2,0,0,2,1,3,1,2,3
"740"," ordered  pink  size xl  color  pretty  problem   material   thin  tight  ran    size smaller  shown   photos online",0,1,0,1,1,1,0,1,1,1
"741"," ordered    emerald green         dime size hole   sleeve    disappointed   love  sweater   time  arrived   sold    size    exchange       damaged   sweater   damaged   recommend  product",1,1,1,0,2,1,0,3,1,4
"742","    pretty sweater  bit boxy  short  cute     ordered  regular xs  black  thing       sweater   gold thread   back lace         plain black lace      ",1,1,0,1,1,2,0,2,2,4
"743","  obsessed   dress   moment    online    excited  buy    company christmas party im   lbs   ordered    size  great    cut   dress  completely       fairly short torso   top portion   dress    sweaterlike material hit    low   waist   flattering   petite   fixed     skirt wouldve   short  pleats  cute  flared  ",1,2,0,0,2,0,1,4,1,6
"744"," tunic   pretty  black   lighter weight   picture appears  drapes nicely im    ordered  petite        extra length   regular   worn  leggings  jeans  petite length  work   recommend   size chart provided  general wear  xs  ordered   based   size chart   perfect fit",0,3,1,1,3,3,1,7,4,6
"745"," love  shirtdress  lace  collar design pops   black super comfortable  love    pockets  keeper     back       lbs    fits perfect  length    knee       wearing tights  skinnys underneath",2,1,0,1,2,2,0,2,3,3
"746"," cardigan  nice   lace   back  pretty   aware     cropped length   good  wearing   dress   dont   cover    size     room  layer        store   top button  falling    didnt buy ",1,4,0,1,2,2,1,5,2,5
"747"," guys  love       hour  wearing   back seam completely ripped  fit  perfectly sadly  ll   return  damaged item  sad    sold  ",0,0,0,0,1,1,0,0,1,2
"748"," love  soft slouchy feel   draped  constructed jacket dont expect  crisp fit im   fan   menswear    jacket   boho answer   classic blazer  onebutton closure  easy  wear   hem curves    feminine   hesitated  ordering hoping   turn    local retailer   time   ready  order  green version  sold    turns   copper       degrees today   wore  ",0,4,0,0,3,1,1,4,2,5
"749"," bought    usual medium   fits great fitted   shoulder loose    great  skinny jeans    worn casually  dressed   accessories",1,0,0,0,0,1,0,2,2,2
"750","ordered  dress online  wasnt    crisscross neckline feature   love   absolutely adorable  unbelievably comfortable  fabric   soft  lays nicely  feeling  baggy  frumpy  embroidery  beautiful im wearing    fall event  october  pairing    favorite cowboy boots      great  flats heels  booties totally  love   dress",1,1,1,1,5,2,1,2,2,6
"751","   shopping   dress    home    person  material  embroidery    stunning   found  picking     sold      material   soft  feels   extremely high quality    basic shirtdress   amazingly flattering  curves  clinging   im   lbs  wear  small  topsdresses  purchased  size   fit perfectly im slightly chesty    ha",0,1,0,0,4,0,2,3,2,4
"752","love  design   gold color   seams  knit  lace    weird  bunchedwerent smooth        needed   ironed  ",1,0,1,1,1,1,0,1,2,3
"753","great style",0,0,0,0,0,0,0,0,0,0
"754"," top  great  lightweight  flattering",0,1,0,0,1,0,0,1,0,2
"755","  wear   work  skinny white pants    grocery store  jeans ",0,2,0,0,1,0,0,2,1,2
"756"," purchased  color   love      ",0,0,0,0,1,0,0,0,0,1
"757","  dressed     top part  tight   bottom   beautiful skirt im slightly busty      size   perfect  ",0,2,0,0,2,1,0,2,1,3
"758"," fabric  beautiful   lining  lovely  ordered  green color   large  im curvy   long arms    doesnt lay correctly     collar   structure     lapel   side vents  pop    jacket added  lbs   looked frumpy     tailored   model  bad        velvet blazer   color   long time",1,3,1,1,3,2,2,3,2,6
"759","love  shirt  bought  light blue color   amazing fits   love   long   back  comfortable  loose thinking  buying    pinks",1,1,0,0,1,1,0,0,1,1
"760","great material  bit loose   middle  lower half doesnt belt      shorter  alterations im   model    yeah  shorter   cute",1,0,0,1,0,1,0,0,2,2
"761","love  cardigan fits    expected  structured   front   bit  flair   back",1,1,0,0,1,0,0,0,1,1
"762"," loved  cut   pants   button accent   pockets   material   thin   quality   great   multiple snags   seams additionally   lbs   swimming   size      sizing    quality  ",0,0,0,0,0,0,0,0,1,0
"763","   pretty sweater  ordered  red     plum color  close  red    work   black gray  denim  found  sweater  boxy   front   back  spectacular     made  raw edges  seams   threatening  unravel    nice  casual holiday dressing  found  longer tank  white works   ",1,4,2,1,4,2,1,3,2,5
"764","  silly   moss   brown  pictured  olive green        casual   love  flex   coat  shape  beautiful   lining  fun  waited  months     close   size    style    keeper   back order situation   acceptable dont   fault  ",0,1,0,0,5,1,0,1,2,6
"765","   feet    ordered  petite small  moss   posted  photo    pretty green  lining  pretty  reason  deducted  star    lining   thin  slips    putting  jacket    doesnt effect    jacket falls   wear  comfortably  floppy   sloppy   surprised   side  fabric    tulip    nice surprise im curvy  busty    problem    unflattering  ",0,2,1,2,4,1,2,4,4,5
"766"," ordered  shirt  wear   pair  pants     return     reason  top  back      cute     exaggerated key hole   back     found  things  pair   top       price   didnt             sale   cute fits true  size",1,1,0,0,1,0,0,3,3,4
"767"," leggings  soft comfortable     love    feel",0,0,0,0,1,0,0,0,0,1
"768","    difficult  find  shirt  doesnt expose half   bra   lift  arm ",0,1,0,2,0,0,0,0,0,0
"769","",0,0,0,0,0,0,0,0,0,0
"770","  cute   arm hole issue  overpriced  back",1,0,1,0,0,1,0,0,1,1
"771"," wanted  culottes  work    fabric  gorgeous   size  ordered didnt fit im   size   pants   ordered  size      tight  made       pooch   zipper area    wanted      return  ",0,0,0,0,1,0,0,0,0,1
"772"," dress      maxi barely    knees       cute detail shown  bodice    folds    added   picture waist  higher   natural waist  pretty silk    cute    pictured",0,1,0,0,1,0,0,1,0,3
"773","  adore  top    comfy  stylish  wear     purple cardigan  feel   iris  bloom   reviewers  mentioned   straps    long    cut    resew  make  wearable     slouched  front  looked sloppy  awful   layering    looked absurd",1,4,2,2,2,1,0,4,4,3
"774"," read  reviews prior  purchasing  loved  pattern           disappointed     read  reviews       true  top   dress  flat      detail  shown   model   appears   disproportionate     curvy  bottom fits    top  large  rectified  wearing  padded bra   ordered  petite   surprised  dress    ankle   items  ",2,1,1,0,0,2,1,1,3,2
"775","   beautiful  person  love  detail  color   dont  ponchos    shape   square front  sets  ",0,0,0,0,2,0,0,0,0,3
"776"," rarely write reviews    comment   pants  pilcro pants   favorite   fall  winter  fit beautifully    great alternative  jeans  pants   comfortable  flattering love  print     versatile     worn   casual pants    dressed            clothes   stylish    young    woman  age retailer   favorite store",0,2,0,0,4,2,1,1,2,5
"777","ditto    reviewer       forward  receiving  dress    received       photos  graphics  fantastic   love  boats   top      theyve added  fabric belt   finished dress  fit  perfect   gapping   arms similar  suspect     reviewer reported    surprised   fabric based   photos   expecting  light  semi trans",1,4,0,2,3,0,2,2,2,6
"778"," ordered     grey  moss   love     soft  easy loose fitting casual shorts  wear   bit lower   waist  pictured   hit lower   leg    model   prefer       lbs ordered xs  dark grey  feel  versatile    throw        moss  cute  whitecream summery tops  washed  machine cold laid flat  dry touched   light steam ",1,1,0,0,2,2,0,4,5,5
"779"," culottes  adorable onif  order    sizes  run extremely small fabric  thick high quality   beautiful color",0,0,0,0,2,0,0,0,1,2
"780","quality  fantastic   feel      barely made     leg  pant   small  terms  sizing    style fit       lot  fabric   legs nice pant     girl",0,0,0,0,0,0,0,0,1,0
"781","love  pants corduroy leggings  fit   skinny pant comfortable   stretchy maintains shape   multiple wears  cleaning pairs nicely  black neutral  buttery yellow tops fun print received compliments  time  wore  sizing     im   wear   denim       size  super skinny   ordered    fits   fine",1,3,0,0,2,1,0,2,3,6
"782","skirt  med fit fine cutelightweight swingy flirty fun  knee length",0,1,0,0,1,0,0,0,0,1
"783","  typically  ",0,0,0,0,0,0,0,0,0,0
"784","  pattern  swings     made   wide   hips  opposed   clothes   ",1,0,0,1,0,0,0,0,1,0
"785"," petite  curvy girls enjoy",0,1,0,0,1,0,0,1,0,1
"786","  backsorry",0,0,0,0,0,0,0,0,0,0
"787","  small petite length  perfect love  color super comfy  pretty  problem     wear  bra    armpits   low   shows  bra  lot    wear sans bra   show  breasts  loose    top   easy  show    adjust  straps  works    waist          belly im taking   seamstress         armpits     back im ",0,3,0,1,3,1,0,5,3,4
"788"," cords   fantastic worth  price     comfy   lot  stretch    loose shape  fun  muted color design   average outfit    fun pop   run big      im        long    trip  tailors  fix  highly recommended",0,2,0,0,1,0,2,0,1,3
"789"," loved  photo   dress  examination   dress      receiving   mail  dress shown online     dress  received save   pattern  dress  received   side zip     belt   pleats   top  bottom   cut straight     appears   photo turns      flattering    ",1,3,0,2,3,1,2,2,4,5
"790","beautiful pajama bottoms  purchased    special treat   luckily  found  review   site stating   run small  pirchasing    tight pjs order  size   im  tall   length       taller   find  style  short  havent ordered  top  im     fit  im guessing   runs small based   photo",1,2,1,1,4,1,1,3,2,5
"791"," love  sweater combo   larger woman      flattering tops  draping  front covers    areas    made    colors",0,0,1,0,2,0,1,1,0,2
"792","   realize   knitted vest   attached gauzy underlayer        photo    thought  wasnt part   actual vest   vest arrived  realized sadly   flowing underlayer  part   design  dont     yarn  vest  lovely     opinion  underlayer takes    beautiful vest  guess    spent  time  removed     price     back  bad   ",1,3,1,1,2,3,2,1,3,3
"793","   perfect fit   worried      short   boxy    wear  xs    slightly longer waist    xs tops run short    overwhelming   perfect   roomy  long   swallowing  frame   nice   dress   wear    great    sale price      made  doesnt     run   mill pullover",0,3,0,0,1,1,0,2,2,2
"794","   skirt        tailor      fullness     lot  material    heavier     imagined   wear  fall  winter  white  navy cardigans",0,1,0,0,1,1,0,2,2,1
"795","     make  back    classic pieces retailer        xs  store   ordered  xxs  xs petite  felt  usual xs    big    retailer  making things bigger  verdict  iliked  length   regular size    xxs fit     difference  xs petite   similar size   arm hole  higher",0,1,0,1,0,0,0,1,0,3
"796","colors   neutral  warm    addition    layer  make   wh",0,1,0,0,0,0,0,1,0,0
"797","    online  thought       thin summery kind  skirt   fall pattern      thin  wispy  lined   nicely weighted navy material   fabric   skirt  kind   thick cotton   nice swing     work   fall  cool days  evenings  zipper pockets  cool    recommend",0,1,0,0,1,1,0,2,1,3
"798","  excited    jeans     petite sizes    short inseam   orderingreturning  pairs  found       petite jeans  beware     ordering    shorter inseam            description    inseam issues  fit  typical paige denim",0,2,0,1,2,0,1,2,1,2
"799"," top  super cute   bottom hem   frayedcouldnt      pictures  flutter sleeves   biglooks funny   frayingruns   large   loved  color perfect  white denim",0,3,0,0,2,1,0,3,1,4
"800","     shirt   style  thought    cute     red  advertised     brick orangey color       wanted  disappointed    back",1,1,1,0,0,1,0,0,1,1
"801"," lightweight wide leg pilcro summer jeans   cute     good    love  fabrica slightly nubby  stretch chambray   perfect  hot weather  waist   bit large    fabric  spare   hip area  legs   wide adding   comfort factor    details   cutecontrasting fabric   slash front  rear pockets    size ten      bigi  imagine   stretch   wear  ",2,3,0,0,4,0,1,4,2,5
"802","   great skirt    worn   wedding  worn  casually   cool tshirt     puffy    skirt  stretchy   fitted    size  size   nice",0,0,0,0,0,1,0,0,2,1
"803","wow       sizes left   local store    sale   maxed   additional discount  black friday weekend  size  fit perfect    wait  wear    gorgeous skirt   sell   ",0,3,0,0,2,1,0,2,3,3
"804"," love  fabric   fall wasnt expecting    light    heavy     balance",0,1,0,0,1,1,0,0,1,2
"805","     classics  love  collage  pattern   fabric",0,0,0,0,2,0,0,0,0,2
"806"," fit  true  size   great  bootieboots dressed   ",0,0,0,0,0,0,0,0,0,0
"807","          color kind  shirts    simply      constructed  fabric   perfect weight   sooooooo comfortable  raspberry     dusty rose  pictured online   works ive    shirt  couple  day  addition  wanting  wear   day  fabric   pilled im shortwaisted       issue   highlow hem  cropped length",0,2,1,1,3,2,1,4,3,3
"808","    skirt   colorful  interesting pattern  multiple colors  make   great fall skirt   wear   pink burgundy gray white black      wait   temps  drop",0,2,1,0,1,3,0,2,4,2
"809","    fitting jeans ive  owned  puckering   crotch   dont     waistband     run small",0,1,0,0,1,0,0,1,1,1
"810"," dress   beautiful  color    vibrant  person  stunning emerald green    made  doesnt   low   arm     halters  halter material   thicker band   nice support  skirt    poof   hips   top    back view photo online          surprised     didnt     front view    decided   fun  flirty  received numer",1,2,0,1,3,1,1,2,1,5
"811"," pants  perfect          worth  penny  fabric   lightweight    sort  denim       wear   season    cute  simple heels   classic blouse     dressed   nice sneakers   plain white   excited      closet love  good pair  fun pants",0,5,0,0,6,0,2,5,1,9
"812"," big    secure   wear  swimming",0,0,0,0,0,0,0,1,1,0
"813"," received  skirt today    disappointed  dont    expected       thought    quality   good   fit  true  size   return   fabric   skirt    busy        uncertain       tops  colors    matching white     colored top    print          time  make  definite decision",2,6,2,1,2,1,2,3,2,4
"814"," top   perfect  autumn   winter    southeast  purchased  red  hoped       rust colorlucked   material   soft     thinner side  layeringwhich  alway     spare tires   belly area     grab aholed  themin fact  stripes   work  disguise   lace  nautical feel brings  attention   money maker  wont  disappointed",4,4,1,1,2,2,1,5,4,5
